               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,             0.04607,            0.011632,                   0,             0.88293,             0.81081,             0.91202,             0.40823,            0.044803,            0.018394,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.046715,            0.010547,                   0,             0.76354,             0.87286,             0.88308,             0.42915,            0.044341,            0.018299,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.043727,            0.011016,                   0,             0.90993,             0.81929,             0.92808,             0.41183,            0.046376,            0.018315,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.043808,            0.011142,                   0,             0.91502,             0.87321,             0.95632,             0.39983,            0.045807,            0.018351,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.044107,            0.011514,                   0,             0.86765,             0.91892,             0.94091,             0.40607,            0.046408,            0.018575,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.043043,            0.013175,                   0,             0.93697,             0.94595,             0.96226,             0.41976,            0.043301,            0.018339,                   0,            0.008086,            0.008086,            0.008086
                  60,             0.04454,            0.010524,                   0,             0.88252,             0.91892,             0.93403,             0.44043,            0.043524,            0.018356,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.044304,             0.01032,                   0,             0.88176,             0.94595,             0.94943,             0.41357,            0.044108,            0.018638,                   0,             0.00802,             0.00802,             0.00802
                  62,               0.044,            0.011455,                   0,             0.91264,             0.84726,             0.94574,             0.40107,            0.045251,            0.018754,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.044122,            0.010893,                   0,             0.84913,             0.91892,             0.93648,             0.39847,            0.045814,            0.019044,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.042452,            0.010308,                   0,             0.82481,              0.7636,             0.84419,             0.38356,            0.048879,            0.018893,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.042393,            0.011056,                   0,             0.87868,             0.86486,             0.92489,               0.419,            0.044701,            0.018511,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.040011,            0.012484,                   0,             0.86286,             0.94595,             0.95223,             0.42997,            0.043522,            0.018279,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.042092,            0.011976,                   0,             0.84099,             0.91892,             0.94211,             0.42731,            0.042538,            0.018186,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.042686,           0.0096168,                   0,             0.88993,             0.94595,             0.95493,             0.43007,            0.041905,             0.01822,                   0,            0.007789,            0.007789,            0.007789
                  69,              0.0406,            0.012264,                   0,             0.85669,             0.86486,             0.93402,              0.3954,              0.0436,             0.01866,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.041933,            0.011516,                   0,             0.87883,             0.86486,             0.93687,             0.42877,            0.041637,            0.018834,                   0,            0.007723,            0.007723,            0.007723
                  71,             0.04166,            0.010543,                   0,             0.81808,             0.85093,             0.90431,             0.39676,            0.042791,            0.018833,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.042623,            0.010966,                   0,             0.84422,             0.87897,             0.91681,             0.42177,            0.041989,            0.019419,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.040497,           0.0096329,                   0,             0.85122,              0.9279,             0.93663,             0.43952,            0.041654,            0.018871,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.040781,            0.010844,                   0,             0.89432,             0.91496,              0.9285,             0.43956,            0.041025,            0.018911,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.041178,            0.010482,                   0,             0.87523,             0.83784,             0.91197,             0.41599,            0.040544,            0.018977,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.038145,           0.0099155,                   0,             0.88592,             0.91892,             0.93477,             0.46279,            0.041741,            0.019034,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.040432,            0.011038,                   0,             0.91635,             0.91892,             0.93361,             0.42548,            0.042143,            0.018353,                   0,            0.007492,            0.007492,            0.007492
                  78,              0.0413,            0.012309,                   0,             0.81936,             0.91892,             0.92561,             0.43488,            0.040697,             0.01796,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.038565,            0.010814,                   0,             0.91531,             0.94595,             0.96256,             0.43938,            0.040143,            0.017834,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.037782,           0.0097684,                   0,             0.93512,             0.94595,             0.95059,             0.44697,            0.041997,            0.018522,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.037346,            0.010626,                   0,              0.8716,             0.94595,             0.94696,             0.46253,            0.041221,            0.018876,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.038434,            0.011233,                   0,             0.89181,             0.89189,             0.92795,             0.43371,            0.041177,            0.018157,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.039117,            0.010418,                   0,             0.90671,             0.89189,              0.9262,             0.41913,            0.040922,            0.018445,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.034761,            0.010244,                   0,              0.8564,             0.83784,              0.9181,             0.39185,            0.043174,            0.018949,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.037544,           0.0094082,                   0,             0.91507,             0.87378,             0.91645,              0.3959,            0.043756,            0.019249,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.039571,           0.0098452,                   0,             0.95877,             0.91892,             0.94127,             0.38778,            0.043814,            0.019519,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.037825,            0.009422,                   0,               0.821,             0.81081,             0.82296,              0.3898,            0.045665,             0.01916,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.038034,           0.0095819,                   0,             0.88085,             0.86486,             0.89337,             0.40395,            0.045517,            0.019675,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.036561,           0.0091059,                   0,             0.86583,             0.87224,             0.89075,              0.3954,            0.043292,            0.020878,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.038408,           0.0088621,                   0,             0.86446,             0.91892,             0.90569,             0.41163,             0.04138,             0.02079,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.039281,           0.0098668,                   0,             0.82576,             0.89189,             0.89618,             0.39959,            0.041309,             0.02037,                   0,             0.00703,             0.00703,             0.00703
                  92,             0.03376,           0.0093737,                   0,              0.8316,             0.89189,             0.91394,             0.41403,            0.040884,            0.019624,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.037328,            0.010594,                   0,              0.8606,             0.89189,              0.9203,             0.41163,            0.040608,            0.019306,                   0,            0.006964,            0.006964,            0.006964
